eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
42,0,42,0.5958,0.1776,0.1058,0.2502,0.993,0.3782,0.0,0.3782,1.2353,0,23.8
43,0,43,0.779,0.0783,0.061,0.2502,0.993,0.3782,0.0,0.3782,1.2353,0,23.8
44,0,44,0.6548,0.0663,0.0434,0.2502,0.993,0.3782,0.0,0.3782,1.2353,0,23.8
45,0,45,0.781,0.3109,0.2428,0.2502,0.993,0.3782,0.0,0.3782,1.2353,0,23.8
46,0,46,0.8084,0.1304,0.1054,0.2502,0.993,0.3782,0.0,0.3782,1.2353,0,23.8
47,0,47,0.5044,0.2328,0.1174,0.2502,0.993,0.3782,0.0,0.3782,1.2353,0,23.8
48,0,48,0.4192,0.4132,0.1732,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
49,0,49,0.7838,0.011,0.0086,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
50,0,50,0.8978,0.0593,0.0532,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
51,0,51,0.8322,0.2004,0.1668,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
52,0,52,0.8968,0.0611,0.0548,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
53,0,53,0.9926,0.0018,0.0018,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
54,0,54,0.9922,0.0224,0.0222,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
55,0,55,0.5134,0.0175,0.009,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
56,0,56,0.6648,0.0869,0.0578,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
57,0,57,0.5186,0.1747,0.0906,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
58,0,58,0.9728,0.021,0.0204,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
59,0,59,0.3146,0.1125,0.0354,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
60,0,60,0.7832,0.0197,0.0154,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
61,0,61,0.5326,0.0657,0.035,0.2502,0.993,0.4132,0.0,0.3782,1.2353,0,23.8
62,0,62,0.649,0.3991,0.259,0.259,0.993,0.4132,0.0,0.3991,1.2353,0,23.8
63,0,63,0.6324,0.1053,0.0666,0.259,0.993,0.4132,0.0,0.3991,1.2353,0,23.8
64,0,64,0.831,0.0534,0.0444,0.259,0.993,0.4132,0.0,0.3991,1.1754,0,24.5
65,0,65,0.5302,0.4017,0.213,0.259,0.993,0.4132,0.0,0.3991,1.1754,0,24.5
66,0,66,0.375,0.0912,0.0342,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
67,0,67,0.834,0.1038,0.0866,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
68,0,68,0.8628,0.0454,0.0392,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
69,0,69,0.7952,0.1818,0.1446,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
70,0,70,0.798,0.0281,0.0224,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
71,0,71,0.862,0.08,0.069,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
72,0,72,0.7922,0.0202,0.016,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
73,0,73,0.9176,0.083,0.0762,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
74,0,74,0.456,0.0658,0.03,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
75,0,75,0.8672,0.0837,0.0726,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
76,0,76,0.7028,0.1002,0.0704,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
77,0,77,0.586,0.1597,0.0936,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
