eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
133,3,5,0.7506,0.2068,0.1552,0.4054,1.0,0.8252,0.7434,0.5589,1.2583,0,10.3
134,3,6,0.5858,0.6043,0.354,0.4054,1.0,0.8252,0.7434,0.6043,1.2583,0,10.3
135,3,7,0.522,0.5023,0.2622,0.4054,1.0,0.8252,0.7434,0.6043,1.2583,0,10.3
136,3,8,0.5544,0.29,0.1608,0.4054,1.0,0.8252,0.7434,0.6043,1.2583,0,10.3
137,3,9,0.3674,0.6973,0.2562,0.4054,1.0,0.8252,0.7434,0.6043,1.2583,0,10.3
138,3,10,0.5616,0.7208,0.4048,0.4054,1.0,0.8252,0.7434,0.7208,1.2583,0,10.3
139,3,11,0.9186,0.0753,0.0692,0.4054,1.0,0.8252,0.7434,0.7208,1.2583,0,10.3
140,3,12,0.6866,0.2389,0.164,0.4054,1.0,0.8252,0.7434,0.7208,1.2583,0,10.3
141,3,13,0.4706,0.564,0.2654,0.4054,1.0,0.8252,0.7434,0.7208,1.2583,0,10.3
142,3,14,0.694,0.2594,0.18,0.4054,1.0,0.8252,0.7434,0.7208,1.2583,0,10.3
143,3,15,0.6078,0.3731,0.2268,0.4054,1.0,0.8252,0.7434,0.7208,1.2583,0,10.3
144,3,16,0.6112,0.7363,0.45,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
145,3,17,0.6054,0.0337,0.0204,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
146,3,18,0.7638,0.3401,0.2598,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
147,3,19,0.778,0.2172,0.169,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
148,3,20,0.5172,0.4509,0.2332,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
149,3,21,0.6184,0.5928,0.3666,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
150,3,22,0.8244,0.0985,0.0812,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
151,3,23,0.6318,0.5736,0.3624,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
152,3,24,0.6252,0.5134,0.321,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
153,3,25,0.8994,0.0618,0.0556,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
154,3,26,0.6242,0.3954,0.2468,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
155,3,27,0.7374,0.1204,0.0888,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
156,3,28,0.9028,0.3314,0.2992,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
157,3,29,0.3236,0.4747,0.1536,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
158,3,30,0.6842,0.1701,0.1164,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
159,3,31,0.7392,0.3726,0.2754,0.45,1.0,0.8252,0.7434,0.7363,1.2583,0,10.3
160,4,0,0.6268,0.4266,0.2674,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
161,4,1,0.6378,0.6237,0.3978,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
162,4,2,0.755,0.427,0.3224,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
163,4,3,0.7084,0.4049,0.2868,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
164,4,4,0.401,0.3431,0.1376,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
165,4,5,0.874,0.0947,0.0828,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
166,4,6,0.5286,0.3708,0.196,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
167,4,7,0.4166,0.4647,0.1936,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
168,4,8,0.6338,0.267,0.1692,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
169,4,9,0.5448,0.728,0.3966,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
170,4,10,0.5394,0.3789,0.2044,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
171,4,11,0.8702,0.2046,0.178,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
172,4,12,0.4542,0.616,0.2798,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
173,4,13,0.2784,0.5086,0.1416,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
174,4,14,0.4766,0.551,0.2626,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
175,4,15,0.4056,0.6479,0.2628,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
176,4,16,0.5856,0.5577,0.3266,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
177,4,17,0.8386,0.2848,0.2388,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
178,4,18,0.6544,0.5633,0.3686,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
179,4,19,0.3668,0.3588,0.1316,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
180,4,20,0.8024,0.2405,0.193,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
181,4,21,0.5726,0.6808,0.3898,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
182,4,22,0.9104,0.2801,0.255,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
183,4,23,0.2692,0.3284,0.0884,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
184,4,24,0.8244,0.2205,0.1818,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
185,4,25,0.4796,0.6985,0.335,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
186,4,26,0.055,0.1091,0.006,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
187,4,27,0.7348,0.3625,0.2664,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
188,4,28,0.8028,0.3271,0.2626,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
189,4,29,0.6228,0.5337,0.3324,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
190,4,30,0.5716,0.3464,0.198,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
191,4,31,0.2372,0.5363,0.1272,0.45,1.0,0.8252,0.7434,0.7363,1.2245,0,10.4
192,5,0,0.6926,0.4984,0.3452,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
193,5,1,0.7514,0.3375,0.2536,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
194,5,2,0.6536,0.6297,0.4116,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
195,5,3,0.572,0.1745,0.0998,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
196,5,4,0.6882,0.5089,0.3502,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
197,5,5,0.5698,0.418,0.2382,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
198,5,6,0.7116,0.4036,0.2872,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
199,5,7,0.4126,0.7135,0.2944,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
200,5,8,0.4984,0.3114,0.1552,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
201,5,9,0.4658,0.7055,0.3286,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
