iter_label,phase,best_particle,objective,validity,uniqueness,product_validity_uniqueness,HBA,HBD,HBA_error,HBD_error,chem_closeness,batch_best_vu,batch_best_vu_HBA,batch_best_vu_HBD
111,iter,6,0.75096573,0.809600,0.931324,0.75400000,3.920208,3.117712,0.079792,0.117712,0.98993942,0.75760000,3.848012,3.148024
112,iter,10,0.75503246,0.821500,0.923798,0.75890000,3.884236,3.110651,0.115764,0.110651,0.98725937,0.76150000,3.875983,3.168663
113,iter,8,0.75733820,0.826500,0.923291,0.76310000,3.895705,3.165033,0.104295,0.165033,0.98112369,0.76310000,3.895705,3.165033
114,iter,3,0.76001450,0.822500,0.929605,0.76460000,3.925836,3.157204,0.074164,0.157204,0.98500688,0.76490000,3.768468,3.172528
115,iter,3,0.76289026,0.826000,0.929903,0.76810000,3.965617,3.181719,0.034383,0.181719,0.98304341,0.76810000,3.965617,3.181719
116,iter,10,0.75872772,0.819700,0.930584,0.76280000,3.958521,3.158595,0.041479,0.158595,0.98665350,0.76350000,3.943805,3.202979
117,iter,4,0.75963329,0.829500,0.923810,0.76630000,3.863412,3.159132,0.136588,0.159132,0.97825033,0.76980000,3.914126,3.276203
118,iter,12,0.76395832,0.831400,0.929637,0.77290000,3.958143,3.238634,0.041857,0.238634,0.97107749,0.77290000,3.958143,3.238634
119,iter,9,0.76362947,0.831500,0.927841,0.77150000,3.934937,3.217799,0.065063,0.217799,0.97449602,0.77150000,3.934937,3.217799
120,iter,5,0.76448907,0.833000,0.925930,0.77130000,3.938535,3.202161,0.061465,0.202161,0.97792387,0.77130000,3.938535,3.202161
121,iter,15,0.76434362,0.846500,0.913999,0.77370000,3.840756,3.189841,0.159244,0.189841,0.96976740,0.78040000,3.993430,3.333177
122,iter,14,0.76758394,0.843300,0.917704,0.77390000,3.897071,3.175027,0.102929,0.175027,0.97959667,0.77390000,3.897071,3.175027
123,iter,4,0.76743708,0.844600,0.917594,0.77500000,3.907530,3.202108,0.092470,0.202108,0.97560347,0.77500000,3.907530,3.202108
124,iter,6,0.76948408,0.841800,0.920646,0.77500000,3.896650,3.158826,0.103350,0.158826,0.98220670,0.78180000,3.991070,3.307719
125,iter,6,0.76527927,0.842200,0.919140,0.77410000,3.924365,3.228212,0.075635,0.228212,0.97151297,0.77410000,3.924365,3.228212
126,iter,14,0.76964502,0.837600,0.924427,0.77430000,3.912488,3.150430,0.087512,0.150430,0.98497036,0.77430000,3.912488,3.150430
